ID,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
1,0.155529876,0.21671887,0.740469965,0.582971185,0.348210516,0.711536905,0.675012497,0.345314754,-0.299881304,0.324531129
2,-0.807344843,-0.605048028,-1.173235404,0.131194535,-0.726779399,-0.103622859,-1.153173514,-1.06937552,-0.580314704,-0.000417266
3,1.755198308,1.132647497,1.210679168,1.011227177,2.369752343,1.848008306,1.122408125,2.117869954,-0.167959321,2.236030511
4,-0.442007549,0.328155493,0.798767336,-0.61759402,1.91554509,-0.428577334,0.702957112,1.622899058,0.663206638,-0.931002674
5,0.157120516,-1.223993799,1.155739673,0.490725679,2.317520555,0.24057753,1.177403572,-0.034146113,-0.46241122,1.077019537
6,-1.488889024,-1.634080633,0.417548613,-1.502437141,0.005790326,-1.623671499,0.423295923,0.150584541,-0.403298681,0.064751258
7,1.140804011,0.534306486,-0.160589589,0.004012431,-0.10991083,0.543945954,-0.171154264,0.233523875,0.920527335,0.252258269
8,2.100702049,1.259892617,0.778274454,1.358053648,-1.509773124,1.472344772,0.708886312,1.090039302,1.203466353,0.526107176
9,1.397711772,1.114621239,0.942796104,1.653450324,-0.549893457,0.958464229,0.927515611,0.279916122,0.413205248,1.033944903
10,-0.961488937,-0.811286639,-2.213543983,-0.599493218,-1.198411418,-0.641772333,-2.118603424,0.228702385,-0.640981271,-1.202875803
11,0.046663,0.458240261,1.093247931,0.455640745,1.74206105,-0.228385438,0.984921459,-0.002572266,-0.719151543,1.010605361
12,1.8554549,0.913354827,0.971321415,-0.298120295,1.101140383,0.542089269,0.870332127,1.033000924,-0.207319992,1.091109874
13,0.519424707,-0.633296179,1.002598589,0.103497415,-1.369032055,2.612609383,0.946344643,0.636481179,0.765463247,1.85522928
14,-0.245013273,0.886371955,0.865409599,-0.887012934,2.609268994,-0.445987849,0.774525171,0.064731339,-0.69023285,-0.338976072
15,0.493543602,2.076962093,0.597845248,1.480101219,-0.210954986,0.175301651,0.557809481,0.824381148,0.737215818,-0.446628151
16,-0.080353757,-0.807299274,1.002223536,-0.720695757,0.554001155,-1.131716723,0.938504479,-0.139258125,-1.12102357,-0.050334177
17,-1.480102835,-1.435926395,-0.212120095,-1.659260771,-0.791780863,-0.141402913,-0.207430085,-0.91079937,0.006492839,-1.39866911
18,-0.25821058,-0.443218476,0.442836932,-0.740840155,-0.049690398,-0.176463587,0.409945848,0.964653979,-0.377611539,-0.995770669
19,0.168767536,-0.4650918,1.011579212,-0.661963614,1.635818185,-1.007051793,0.945140603,1.440417131,-0.925264896,1.625341383
20,-0.831757683,-1.509203276,0.432908832,-1.452554613,-0.774676583,-0.838075622,0.434810801,-0.120482414,-0.609667086,-1.775508666
21,0.159706359,-2.061052642,0.141591122,-0.924286243,1.783304165,-1.924439228,0.117504161,0.999570354,-0.233366991,0.524207474
22,0.350627867,0.97255593,0.088545683,1.49130132,1.319395063,1.86797864,0.086291756,0.75253271,0.14975567,1.674743975
23,0.983818583,1.626658113,1.194091507,0.791073791,1.534364396,0.277779614,1.154671038,0.75373573,-0.178429086,1.382076925
24,0.106560588,0.653919314,0.355186628,0.377843041,-0.99809122,0.248274719,0.293825024,-0.67264715,-0.150908289,-0.045200395
25,-1.488823234,-0.930650681,-0.346262251,-0.574652454,-0.556571149,-0.338967833,-0.244763709,-1.100405422,-0.225755728,0.043846328
26,-0.388901608,-0.536479364,0.321382803,-1.045409355,-0.310926178,0.236233102,0.312956659,-1.152892475,0.031944065,-1.752986877
27,0.78551949,0.299257791,-0.198563496,1.602054083,-1.357083249,0.356470985,-0.180754121,0.549858392,0.197536247,-1.028222518
28,0.1825127,-0.364477314,-0.606982293,-0.561867742,-1.156457213,-0.367105839,-0.544757774,-0.991685593,1.012864377,0.694015203
29,-0.807547776,-1.497884415,-0.476873197,-0.525813588,-0.440625782,-0.800380763,-0.36969175,-0.879357155,-0.250718569,0.193040162
30,-0.192616525,0.101970729,-0.708620026,-0.832520317,-1.708936037,0.151420828,-0.746126835,-0.977074156,-0.329489718,-1.745392088
31,-1.179090963,-0.388921962,0.175244075,-0.521130729,1.059268949,-0.898958738,0.161401186,-0.089773976,-1.50222253,0.313148642
32,-1.33725978,-0.442207163,-0.259651081,-1.122899086,0.376562524,-1.477126758,-0.177373069,-0.21539603,-0.446642339,0.264292771
33,0.639336118,0.560113568,-0.286203186,0.608179869,0.137928077,-0.427502618,-0.357594443,0.118588468,0.159226567,-0.166097423
34,0.630647605,1.023888233,0.093168099,0.080815014,-0.971878795,0.043214942,0.097391422,1.244679932,-0.482613221,-0.610803032
35,-0.733671637,-1.344738618,-0.513140035,-0.868206863,0.110970929,-0.437391566,-0.368928119,-1.239118935,-1.697709421,0.205524501
36,1.813904484,0.261367938,0.663144727,0.670224572,0.799988288,0.584931645,0.595245049,1.376085006,-0.741777108,0.37002262
37,0.01837131,-0.262357696,-0.438449715,0.020797474,-1.272935388,0.341654807,-0.440819288,-0.12823762,1.306128841,-0.234234603
38,0.273071685,0.792274087,0.453431726,1.370443688,0.302367416,0.700127107,0.414488736,-0.042464254,0.835951537,-0.664898641
39,-2.063461084,-1.442931272,-0.021525408,-1.47923077,0.237541394,-0.263756228,-0.077443932,-1.736275729,-0.478391085,0.078884976
40,0.248187508,0.775142752,0.508809325,-1.348572492,-0.229045984,0.295053957,0.54856707,-0.110513173,0.789512406,-0.390363281
41,1.925035533,1.302320814,1.52514133,1.381192413,2.16293094,2.235484991,1.476918345,1.180939112,0.468277808,1.888417253
42,2.116407228,0.637666885,1.220798852,0.810199474,-1.197601656,0.592933539,1.170661151,1.061716826,1.251075109,2.262533003
43,-1.719308968,-0.494524625,-0.967337718,-1.328439752,-0.504552693,-0.414615672,-1.026446794,-2.358832301,-0.288321287,-1.505943703
44,1.209823803,0.471987451,0.303783213,0.579080719,-0.331987915,0.533643924,0.331036939,1.88294182,0.364594046,0.167730237
45,-0.594686305,-0.662360635,-0.123137952,-1.603189077,1.800846139,-1.386452337,-0.096339488,-0.042704066,-0.745854043,0.445900334
46,0.722429753,1.024851766,0.641648661,0.602575233,0.728021045,0.839049118,0.603996246,0.453981688,0.888701366,-0.987499072
47,-1.459303621,-1.839993425,-1.013001337,-1.232814281,-0.073410468,-2.070653053,-1.00304721,-1.124180853,-0.874122602,-0.397776385
48,-0.134720637,0.309641693,-0.203238769,0.1279087,-0.440661158,-0.585041063,-0.265661032,0.065034711,0.85117388,-0.550914991
49,-0.369719984,-0.991118688,0.403376983,-0.012873918,-0.907637645,-0.580480618,0.386260649,-0.283107418,-1.20351913,-0.052504542
50,-1.871478879,-1.501056469,-2.316532135,-0.709008413,-0.562654522,-1.46874869,-2.261135082,-2.166919516,-1.083182937,-1.818707716
51,2.467547367,0.988473321,1.66965763,0.498511177,2.360067917,-0.962849413,1.684597103,-0.522347318,-0.550924118,1.937920043
52,-0.16137181,1.056802831,1.450948458,-0.22882207,1.037350522,1.296369064,1.592475991,0.239812278,-0.12035199,-0.820488189
53,-0.056093573,-0.130811339,-0.508302721,-1.081560363,0.017978621,-0.661332199,-0.487208199,0.567367486,0.420715736,0.348584955
54,1.545738492,0.595218624,0.209947699,0.468127577,0.669488346,-0.45313759,0.179200761,0.780394275,-1.221373209,2.423428608
55,0.953782645,0.570021966,0.48606804,0.231557987,-0.104164174,1.264329331,0.527489881,0.230419128,0.430585591,-0.425962652
56,0.680475502,0.10358683,0.51724612,0.042783695,-0.104042424,0.592340382,0.552316498,1.151039095,-0.705225143,-1.011902753
57,-0.080810735,0.329467147,0.330848151,0.300811893,-0.206481352,1.15580822,0.346013008,0.331978318,0.749729522,0.697752563
58,-1.623801794,-0.917446255,0.575401314,-0.165680463,1.234827027,-0.882576331,0.515177481,-0.63642343,-1.03510178,0.155694797
59,-0.465616695,0.20842435,0.208586034,0.725860003,-1.369694675,-0.66209235,0.278952574,-0.327395227,0.369879724,-2.138688678
60,-1.009759678,-1.606294056,-0.090192538,-1.559880665,1.826111275,-1.022111278,-0.023935694,-0.842523165,-0.531762002,0.624286007
61,-0.414461568,-0.123465533,-1.698768089,-1.065510068,0.047268541,-0.903118417,-1.747286986,-0.624570278,-0.137562337,-1.182797337
62,-0.110003807,-1.301630893,-0.128170004,-0.694614958,-0.959965855,0.940996043,-0.064551638,-1.079364829,0.6479614,-0.752891719
63,1.515134123,0.385830922,0.797863362,1.732037361,-0.235686253,1.232461026,0.687743097,0.720957694,0.745591437,1.069002729
64,-0.276239078,-0.444402726,0.742362676,-0.593518048,1.007719342,-1.735750484,0.733859255,-0.293610715,-0.661560088,-0.248743378
65,-0.420750536,-0.930621496,1.010785935,-1.788826489,0.204697418,1.28130342,1.045813533,0.622485119,0.45552665,-1.114657832
66,0.608683616,-0.364698918,-0.453583135,-0.848400072,0.745422246,0.027441681,-0.448072598,-0.776351879,0.425422176,-0.213667351
67,1.091625922,1.816913405,1.034964122,0.49783304,-0.144649127,1.369224649,0.991164809,1.719394993,0.439212189,0.643993717
68,-0.965165841,-0.986371414,-0.895549421,0.98968165,-1.046235195,-0.913090315,-0.887310801,0.253226748,-0.800492166,-0.389328466
69,1.550565694,1.792638973,0.8461985,1.038175038,-0.458105551,-0.124614739,0.778294923,1.165596863,-0.253766198,1.605380702
