iter	Passed	Remaining
0	4	645
1	8	605
2	12	589
3	15	579
4	19	573
5	23	569
6	27	564
7	31	558
8	35	552
9	39	548
10	42	542
11	46	537
12	50	533
13	54	530
14	58	526
15	62	522
16	66	518
17	70	515
18	74	512
19	78	508
20	82	504
21	86	501
22	90	497
23	95	500
24	99	498
25	103	495
26	108	492
27	112	489
28	116	486
29	120	483
30	125	480
31	129	477
32	133	474
33	138	471
34	142	468
35	146	465
36	151	461
37	155	458
38	159	454
39	163	450
40	168	447
41	172	443
42	176	439
43	180	436
44	185	432
45	189	428
46	193	424
47	197	420
48	202	416
49	206	413
50	210	409
51	215	405
52	219	401
53	223	396
54	227	392
55	231	387
56	234	383
57	238	378
58	242	374
59	246	370
60	250	365
61	254	361
62	258	357
63	262	352
64	266	348
65	270	344
66	274	340
67	278	335
68	282	331
69	286	327
70	290	322
71	294	318
72	297	314
73	301	310
74	305	305
75	309	301
76	314	297
77	318	293
78	322	289
79	326	285
80	329	281
81	333	276
82	337	272
83	341	268
84	345	264
85	349	260
86	353	256
87	357	252
88	361	247
89	365	243
90	369	239
91	373	235
92	377	231
93	380	226
94	384	222
95	388	218
96	392	214
97	396	210
98	400	206
99	404	202
100	408	198
101	412	194
102	416	190
103	420	186
104	424	181
105	428	177
106	432	173
107	436	169
108	440	165
109	444	161
110	448	157
111	452	153
112	456	149
113	460	145
114	464	141
115	468	137
116	472	133
117	476	129
118	480	125
119	484	121
120	488	116
121	491	112
122	495	108
123	499	104
124	503	100
125	507	96
126	511	92
127	516	88
128	520	84
129	524	80
130	527	76
131	531	72
132	535	68
133	539	64
134	543	60
135	547	56
136	551	52
137	555	48
138	559	44
139	563	40
140	567	36
141	571	32
142	575	28
143	579	24
144	583	20
145	587	16
146	591	12
147	595	8
148	599	4
149	603	0
